config,param,tau,res,l_scale,d_scale,n_scale,mean_range,stall_prop,graph_file,mean_ratio,max_ratio,cut_average,cut_max,time_average,total_time
2,2,100,10,0.25,0.0,1.0,,,G55.txt,97.52306049130983,97.85416059811632,10043.9,10078.0,189.6959457397461,4.502127408981323
2,2,100,10,0.25,0.0,1.5,,,G55.txt,97.75123798427032,97.99980580638896,10067.4,10093.0,209.8962158203125,4.017504692077637
2,2,100,10,0.25,0.0,2.0,,,G55.txt,97.71142829400911,97.9415477230799,10063.3,10087.0,213.47240600585937,4.685267210006714
2,2,100,10,0.25,0.1,1.0,,,G55.txt,97.55413146907466,97.92212836197689,10047.1,10085.0,194.4145294189453,3.843719005584717
2,2,100,10,0.25,0.1,1.5,,,G55.txt,97.72405087872609,98.09690261190407,10064.6,10103.0,230.31343841552734,4.303782939910889
2,2,100,10,0.25,0.1,2.0,,,G55.txt,97.79298961064183,98.09690261190407,10071.7,10103.0,266.02313537597655,5.458729982376099
2,2,100,10,0.25,0.2,1.0,,,G55.txt,97.36576366637539,97.67938634818914,10027.7,10060.0,198.05835418701173,4.698732376098633
2,2,100,10,0.25,0.2,1.5,,,G55.txt,97.52306049130983,97.8250315564618,10043.9,10075.0,203.45860748291017,4.0289483070373535
2,2,100,10,0.25,0.2,2.0,,,G55.txt,97.46286047189048,97.80561219535878,10037.7,10073.0,252.83650970458984,4.778314590454102
2,2,100,10,0.5,0.0,1.0,,,G55.txt,95.05777259928148,95.6597727934751,9790.0,9852.0,196.80670166015625,4.079845190048218
2,2,100,10,0.5,0.0,1.5,,,G55.txt,95.11603068259055,95.59180502961452,9796.0,9845.0,199.6579376220703,3.94659423828125
2,2,100,10,0.5,0.0,2.0,,,G55.txt,95.48694047965823,95.80541800174774,9834.2,9867.0,214.94646453857422,4.514798402786255
2,2,100,10,0.5,0.1,1.0,,,G55.txt,95.06748227983299,95.66948247402661,9791.0,9853.0,193.30284423828124,3.4990782737731934
2,2,100,10,0.5,0.1,1.5,,,G55.txt,95.29274686862803,95.79570832119623,9814.2,9866.0,192.7650909423828,3.7933926582336426
