config,param,tau,res,l_scale,d_scale,n_scale,mean_range,stall_prop,mean_ratio,max_ratio,cut_average,cut_max,time_average,total_time
4,2,4,2,0.2,0.2,0.3,,0.5,99.47952512044048,99.81933929800412,11563.5,11603.0,58.088134765625,0.9013392925262452
3,2,8,2,0.1,0.1,0.2,4.0,,99.47952512044048,99.9483826565726,11563.5,11618.0,62.06326179504394,0.919952392578125
3,2,2,1,0.2,0.3,0.2,4.0,,99.47952512044048,99.70750172057812,11563.5,11590.0,61.29006423950195,0.9117581844329834
4,2,1,1,0.2,0.1,0.2,,0.7,99.47866483138334,99.85375086028904,11563.4,11607.0,58.544796752929685,0.903897762298584
3,2,2,1,0.2,0.2,0.3,8.0,,99.47780454232624,99.71610461114936,11563.3,11591.0,71.52901954650879,1.0269062519073486
3,2,1,1,0.1,0.3,0.1,8.0,,99.4769442532691,99.93977976600138,11563.2,11617.0,58.288761901855466,0.8730227947235107
3,2,8,1,0.1,0.2,0.3,4.0,,99.4769442532691,99.72470750172056,11563.2,11592.0,61.937767028808594,0.9165191650390624
3,2,8,1,0.3,0.3,0.3,4.0,,99.47608396421198,99.66448726772197,11563.1,11585.0,61.80390434265136,0.9286837577819824
3,2,8,2,0.2,0.3,0.3,4.0,,99.47608396421198,99.87095664143152,11563.1,11609.0,57.85784339904785,0.8818471431732178
4,2,4,2,0.2,0.1,0.1,,0.5,99.47522367515484,99.80213351686166,11563.0,11601.0,62.87713623046875,0.9514269828796388
4,2,2,2,0.1,0.2,0.1,,0.3,99.4735030970406,99.88816242257398,11562.8,11611.0,57.81510353088379,0.9119987487792968
3,2,1,1,0.3,0.2,0.1,4.0,,99.4735030970406,99.77632484514795,11562.8,11598.0,62.45894660949707,0.9243156909942628
4,2,8,2,0.2,0.3,0.2,,0.3,99.4735030970406,99.81933929800412,11562.8,11603.0,59.21346931457519,0.91615629196167
4,2,1,2,0.2,0.3,0.1,,0.3,99.4735030970406,99.69029593943566,11562.8,11588.0,58.24161949157715,0.910663366317749
4,2,1,2,0.2,0.3,0.3,,0.3,99.4735030970406,99.6730901582932,11562.8,11586.0,62.24297637939453,0.9434175491333008
4,2,1,2,0.1,0.3,0.3,,0.3,99.4735030970406,99.69029593943566,11562.8,11588.0,66.99514579772949,1.000986099243164
4,2,1,2,0.2,0.3,0.2,,0.5,99.47264280798348,99.69029593943566,11562.7,11588.0,75.7941177368164,1.083517074584961
4,2,4,1,0.3,0.3,0.3,,0.7,99.47264280798348,99.97419132828632,11562.7,11621.0,59.3594051361084,0.9429056644439696
3,2,1,2,0.2,0.2,0.2,4.0,,99.47178251892636,99.79353062629043,11562.6,11600.0,67.18512992858886,0.976097822189331
3,2,4,2,0.1,0.3,0.2,4.0,,99.47178251892636,99.71610461114936,11562.6,11591.0,62.12479934692383,0.9255833625793456
4,2,4,1,0.2,0.2,0.1,,0.7,99.47178251892636,99.68169304886442,11562.6,11587.0,88.98262405395508,1.256983757019043
4,2,2,2,0.3,0.3,0.3,,0.3,99.47092222986925,99.79353062629043,11562.5,11600.0,73.8006217956543,1.0747463703155518
4,2,8,2,0.1,0.3,0.2,,0.5,99.47092222986925,99.69889883000688,11562.5,11589.0,59.120883560180665,0.91090989112854
