timestep,masked_mean_energy,masked_ci95,nomask_mean_energy,nomask_ci95
378,-3154.9333333333334,82.91533793600644,19176.0,0.0
379,-3148.0,79.4231127424577,19176.0,0.0
380,-3155.4666666666667,80.30837246361546,19176.0,0.0
381,-3176.2,73.71396088297976,19176.0,0.0
382,-3202.866666666667,66.11571712167546,19176.0,0.0
383,-3183.266666666667,76.7926527599855,19176.0,0.0
384,-3183.733333333333,78.4967537844548,19176.0,0.0
385,-3181.3333333333335,76.4193362383573,19176.0,0.0
386,-3198.4,73.84468346935786,19176.0,0.0
387,-3201.133333333333,67.67065326980143,19176.0,0.0
388,-3191.6,66.57885281188861,19176.0,0.0
389,-3164.4,64.22169835918334,19176.0,0.0
390,-3181.4666666666667,65.06557582654477,19176.0,0.0
391,-3192.4,63.864548778744556,19176.0,0.0
392,-3207.3333333333335,64.98582707611163,19176.0,0.0
393,-3223.3333333333335,65.33333333333334,19176.0,0.0
394,-3226.133333333333,72.71535530690858,19176.0,0.0
395,-3230.733333333333,67.88428975894664,19176.0,0.0
396,-3217.5333333333333,66.92713520049692,19176.0,0.0
397,-3230.866666666667,65.81798072415594,19176.0,0.0
398,-3250.6666666666665,57.31826428004105,19176.0,0.0
399,-3219.866666666667,58.80598733246125,19176.0,0.0
400,-3207.6,62.63388110628929,19176.0,0.0
401,-3205.4,64.11565769566064,19176.0,0.0
402,-3211.8,59.56738274029452,19176.0,0.0
403,-3227.3333333333335,58.67290069281399,19176.0,0.0
404,-3243.266666666667,52.96995127999801,19176.0,0.0
405,-3232.9333333333334,52.04905918951283,19176.0,0.0
406,-3230.8,60.718663877595816,19176.0,0.0
407,-3200.8,68.33140797915549,19176.0,0.0
408,-3207.133333333333,63.97736492641128,19176.0,0.0
409,-3203.9333333333334,59.92955023974981,19176.0,0.0
410,-3190.733333333333,70.82421379390598,19176.0,0.0
411,-3177.8,72.12083697565473,19176.0,0.0
412,-3191.5333333333333,71.8593792752467,19176.0,0.0
413,-3213.266666666667,61.683128681129006,19176.0,0.0
414,-3201.266666666667,83.32412522404594,19176.0,0.0
415,-3202.5333333333333,79.42754549806222,19176.0,0.0
416,-3212.0,70.42519946070766,19176.0,0.0
417,-3218.0,59.348048243769796,19176.0,0.0
418,-3237.2,50.34334879969564,19176.0,0.0
419,-3241.3333333333335,56.37653031963945,19176.0,0.0
420,-3245.133333333333,55.39691197612392,19176.0,0.0
421,-3258.6666666666665,52.65284688755191,19176.0,0.0
422,-3269.3333333333335,54.11980774348308,19176.0,0.0
423,-3260.866666666667,54.25193639159387,19176.0,0.0
424,-3261.0666666666666,50.29320028748506,19176.0,0.0
425,-3266.133333333333,48.45308003147373,19176.0,0.0
426,-3277.866666666667,42.572115799157295,19176.0,0.0
427,-3272.2,48.261841585204785,19176.0,0.0
428,-3268.8,49.594700287870246,19176.0,0.0
429,-3259.3333333333335,56.54701872957641,19176.0,0.0
430,-3271.5333333333333,51.71097576135622,19176.0,0.0
431,-3286.4666666666667,52.40414207489103,19176.0,0.0
432,-3255.4,62.579361574567535,19176.0,0.0
433,-3252.9333333333334,62.009341318782546,19176.0,0.0
434,-3227.3333333333335,56.657794897131,19176.0,0.0
435,-3233.866666666667,59.59364309949286,19176.0,0.0
436,-3230.866666666667,68.43861599286734,19176.0,0.0
437,-3243.5333333333333,62.31193971257269,19176.0,0.0
438,-3222.9333333333334,74.20053040510201,19176.0,0.0
439,-3238.5333333333333,67.35179953177628,19176.0,0.0
440,-3240.266666666667,69.67754662488366,19176.0,0.0
441,-3241.733333333333,67.33863365322708,19176.0,0.0
442,-3251.6,71.73113707529627,19176.0,0.0
443,-3254.5333333333333,71.68717933395229,19176.0,0.0
444,-3281.8,63.84572593801189,19176.0,0.0
445,-3312.4,56.970563323748934,19176.0,0.0
446,-3298.0666666666666,59.785257704849364,19176.0,0.0
447,-3298.4666666666667,60.19133956060138,19176.0,0.0
448,-3304.9333333333334,57.134745478598354,19176.0,0.0
449,-3314.2,56.131632924800954,19176.0,0.0
450,-3323.133333333333,53.59784009143869,19176.0,0.0
451,-3328.3333333333335,49.971304329569655,19176.0,0.0
452,-3330.9333333333334,47.72837270569885,19176.0,0.0
453,-3339.2,42.76363841170319,19176.0,0.0
454,-3320.6,50.05149747458387,19176.0,0.0
455,-3328.6,50.373003702151934,19176.0,0.0
456,-3322.866666666667,58.90584486296039,19176.0,0.0
457,-3327.133333333333,59.699579874401756,19176.0,0.0
458,-3315.6666666666665,63.8284979219563,19176.0,0.0
459,-3325.2,59.78174687479697,19176.0,0.0
460,-3314.6666666666665,65.26544150635279,19176.0,0.0
461,-3319.866666666667,57.914999585169575,19176.0,0.0
462,-3309.4666666666667,62.0936525968014,19176.0,0.0
463,-3296.6,64.31534461908187,19176.0,0.0
464,-3294.0666666666666,67.68104055973905,19176.0,0.0
465,-3293.733333333333,66.51417971187269,19176.0,0.0
466,-3311.6,61.76465867725038,19176.0,0.0
467,-3324.0,58.6743055005938,19176.0,0.0
468,-3328.0,51.53385121150616,19176.0,0.0
469,-3317.4,57.235564367041874,19176.0,0.0
470,-3327.0666666666666,53.80178216706665,19176.0,0.0
471,-3339.9333333333334,55.48191220410265,19176.0,0.0
472,-3320.6666666666665,64.45091627062104,19176.0,0.0
473,-3321.266666666667,71.14991046905675,19176.0,0.0
474,-3332.3333333333335,62.300430443215724,19176.0,0.0
475,-3316.133333333333,64.04917305581782,19176.0,0.0
476,-3317.266666666667,57.716288804097644,19176.0,0.0
477,-3325.266666666667,59.890339448821116,19176.0,0.0
